UTC,Latitude,Longitude,Altitude_km,Speed_kmps
2025-07-04 16:08:15,18.170993,70.396418,414.791,7.3670
2025-07-04 16:08:17,18.281334,70.486613,414.801,7.3670
2025-07-04 16:08:18,18.335756,70.531161,414.806,7.3670
2025-07-04 16:08:19,18.389346,70.575068,414.811,7.3670
2025-07-04 16:08:20,18.442377,70.618557,414.816,7.3670
2025-07-04 16:08:22,18.495892,70.662483,414.821,7.3669
2025-07-04 16:08:23,18.548007,70.705298,414.826,7.3669
2025-07-04 16:08:24,18.600248,70.748257,414.831,7.3669
2025-07-04 16:08:25,18.653148,70.791796,414.837,7.3669
2025-07-04 16:08:26,18.705762,70.835140,414.842,7.3669
2025-07-04 16:08:27,18.758343,70.878497,414.847,7.3669
2025-07-04 16:08:28,18.811347,70.922242,414.852,7.3669
2025-07-04 16:08:29,18.864453,70.966112,414.857,7.3669
2025-07-04 16:08:30,18.918301,71.010638,414.863,7.3669
2025-07-04 16:08:31,18.971511,71.054678,414.868,7.3669
2025-07-04 16:08:32,19.025206,71.099161,414.873,7.3669
2025-07-04 16:08:33,19.078253,71.143148,414.879,7.3669
2025-07-04 16:08:34,19.130668,71.186653,414.884,7.3669
2025-07-04 16:08:36,19.183019,71.230145,414.889,7.3668
2025-07-04 16:08:37,19.235364,71.273674,414.895,7.3668
2025-07-04 16:08:38,19.288831,71.318178,414.900,7.3668
2025-07-04 16:08:39,19.341106,71.361731,414.906,7.3668
2025-07-04 16:08:40,19.394109,71.405933,414.911,7.3668
2025-07-04 16:08:41,19.447380,71.450401,414.917,7.3668
2025-07-04 16:08:42,19.498842,71.493400,414.922,7.3668
2025-07-04 16:08:43,19.551279,71.537256,414.928,7.3668
2025-07-04 16:08:44,19.603881,71.581292,414.934,7.3668
2025-07-04 16:08:46,19.687339,71.651248,414.942,7.3668
2025-07-04 16:08:48,19.782208,71.730898,414.953,7.3668
2025-07-04 16:08:49,19.836382,71.776445,414.959,7.3667
2025-07-04 16:08:50,19.902765,71.832320,414.966,7.3667
2025-07-04 16:08:51,19.955661,71.876892,414.972,7.3667
2025-07-04 16:08:52,20.008347,71.921332,414.977,7.3667
2025-07-04 16:08:53,20.061653,71.966340,414.983,7.3667
2025-07-04 16:08:55,20.114998,72.011426,414.989,7.3667
2025-07-04 16:08:56,20.168047,72.056307,414.995,7.3667
2025-07-04 16:08:57,20.219651,72.100009,415.001,7.3667
2025-07-04 16:08:58,20.271759,72.144182,415.007,7.3667
2025-07-04 16:08:59,20.323920,72.188444,415.013,7.3667
2025-07-04 16:09:00,20.376655,72.233237,415.019,7.3667
2025-07-04 16:09:01,20.428622,72.277424,415.025,7.3666
2025-07-04 16:09:02,20.481232,72.322202,415.031,7.3666
2025-07-04 16:09:03,20.533526,72.366756,415.037,7.3666
2025-07-04 16:09:04,20.585878,72.411406,415.043,7.3666
2025-07-04 16:09:05,20.638122,72.456008,415.049,7.3666
2025-07-04 16:09:06,20.690833,72.501057,415.055,7.3666
2025-07-04 16:09:07,20.742785,72.545502,415.061,7.3666
2025-07-04 16:09:09,20.794544,72.589826,415.068,7.3666
2025-07-04 16:09:10,20.846645,72.634489,415.074,7.3666
2025-07-04 16:09:11,20.899328,72.679699,415.080,7.3666
2025-07-04 16:09:12,20.951640,72.724636,415.086,7.3666
2025-07-04 16:09:13,21.003673,72.769382,415.093,7.3665
2025-07-04 16:09:14,21.055855,72.814301,415.099,7.3665
2025-07-04 16:09:15,21.108267,72.859466,415.105,7.3665
2025-07-04 16:09:16,21.159961,72.904059,415.111,7.3665
2025-07-04 16:09:17,21.212071,72.949057,415.118,7.3665
2025-07-04 16:09:18,21.264736,72.994583,415.124,7.3665
2025-07-04 16:09:19,21.317643,73.040368,415.131,7.3665
2025-07-04 16:09:20,21.370029,73.085750,415.137,7.3665
2025-07-04 16:09:21,21.421850,73.130691,415.144,7.3665
2025-07-04 16:09:22,21.473649,73.175660,415.150,7.3665
2025-07-04 16:09:24,21.525292,73.220541,415.157,7.3665
